,id,Speed,Flow,Density
153,E118_1,15.59,1439.7676799999997,25.65333333333333
154,E9_0,12.85,2881.0728,62.28
155,E9_1,14.31,2306.5430399999996,44.773333333333326
156,E17_0,11.51,720.43392,17.386666666666663
157,E17_1,13.24,667.93152,14.013333333333332
158,E19_1,14.04,1440.16704,28.493333333333336
159,-E8_0,12.51,2159.3260800000003,47.94666666666667
160,-E8_1,13.14,3600.14976,76.10666666666665
161,-E12_0,12.67,1440.1228800000001,31.573333333333334
162,-E16_0,16.02,720.5155199999999,12.493333333333332
163,-E16_1,14.19,719.94384,14.093333333333334
164,-E20_0,15.23,288.02975999999995,5.253333333333333
165,-E20_1,12.88,719.6313600000002,15.520000000000001
166,-E24_1,13.16,679.056,14.333333333333334
167,-E39_0,15.96,720.1152000000001,12.533333333333333
168,-E40_1,12.39,936.684,21.0
169,E101_0,14.72,719.98464,13.586666666666666
170,E101_1,13.83,720.2664000000001,14.466666666666667
171,E104_0,11.5,720.36,17.4
172,E104_1,11.59,719.8780800000001,17.253333333333334
173,E105_0,12.13,2022.1195199999997,46.30666666666666
174,E106_0,14.79,719.85888,13.520000000000001
175,E107_1,14.25,720.252,14.04
176,E108_0,15.12,719.95392,13.226666666666667
177,E108_1,13.81,2160.3259200000007,43.45333333333334
178,E109_1,14.99,719.5200000000001,13.333333333333334
179,E110_0,13.33,1402.5292800000002,29.22666666666667
180,E111_1,14.98,719.75904,13.346666666666666
181,E113_0,14.69,719.9275200000001,13.613333333333335
182,E113_1,13.21,720.31488,15.146666666666667
183,E114_0,12.88,2160.1305600000005,46.586666666666666
184,E116_0,10.1,719.928,19.8
185,E117_1,12.7,719.9376,15.746666666666668
186,E5_0,12.15,1439.9208,32.92
187,E5_1,13.52,1440.6912,29.6
188,E9_0,11.39,720.03024,17.56
189,E9_1,12.45,1312.3296000000003,29.280000000000005
190,E22_1,15.47,1440.5664000000002,25.866666666666667
191,E29_0,12.67,720.0614400000001,15.786666666666667
192,E37_0,11.91,1440.06192,33.586666666666666
193,E37_1,14.72,2159.9539200000004,40.76
194,E38_0,12.74,720.3705600000001,15.706666666666667
195,-E4_0,11.74,719.6150399999999,17.026666666666664
196,-E4_1,15.7,1440.1296,25.48
197,-E8_0,12.0,2160.576,50.01333333333333
198,-E8_1,12.83,2879.052,62.333333333333336
199,-E39_0,13.46,719.7331200000001,14.853333333333333
200,-E40_1,15.41,719.7086400000001,12.973333333333334
201,E101_0,15.25,720.288,13.120000000000001
202,E103_0,13.44,719.9539199999999,14.879999999999999
203,E104_0,10.15,720.5687999999999,19.719999999999995
204,E104_1,10.12,1528.2009600000001,41.94666666666667
205,E105_0,9.64,1439.5219200000004,41.480000000000004
206,E106_0,13.29,720.21168,15.053333333333333
207,E108_0,12.93,1440.5054400000001,30.94666666666667
208,E108_1,8.89,1104.77808,34.519999999999996
209,E109_1,14.35,719.796,13.933333333333334
210,E110_0,10.46,184.26336000000003,4.8933333333333335
211,E111_0,7.3,719.7215999999999,27.386666666666663
212,E112_0,13.76,2159.7696,43.6
213,E112_1,11.38,1439.8886400000001,35.14666666666667
214,E113_0,13.39,719.8464,14.933333333333334
215,E113_1,14.2,719.7696000000001,14.080000000000002
216,E116_0,7.24,720.0614400000001,27.626666666666665
217,E117_1,13.87,719.6865600000001,14.413333333333334
218,E118_0,11.98,719.95008,16.69333333333333
219,E119_0,15.89,720.0076799999999,12.586666666666666
220,E120_0,13.9,1439.8175999999999,28.77333333333333
221,E1_0,13.97,2159.8737600000004,42.94666666666667
222,E1_1,14.15,2159.856,42.4
223,E10_0,15.09,719.97408,13.253333333333332
224,E10_1,15.53,1440.1900799999999,25.759999999999998
225,E21_0,13.94,719.97312,14.346666666666666
226,E21_1,14.32,1440.0192,27.933333333333334
227,-E39_0,14.95,719.7528,13.373333333333333
228,E101_0,14.38,719.9203200000001,13.906666666666666
229,E102_1,14.39,720.42096,13.906666666666666
230,E103_0,13.51,719.8128,14.8
231,E104_0,6.79,1553.98656,63.57333333333334
232,E104_1,7.05,156.6792,6.173333333333333
233,E106_0,13.53,720.22896,14.786666666666667
234,E108_0,9.47,979.1222399999999,28.719999999999995
235,E108_1,7.29,1240.4664,47.266666666666666
236,E109_0,11.54,526.7779199999999,12.68
237,E110_1,13.99,719.8694399999999,14.293333333333333
238,E112_1,12.37,719.63712,16.16
239,E113_1,12.38,720.21888,16.16
240,E114_0,14.23,1327.82976,25.92
241,E116_1,14.39,719.7302400000001,13.893333333333334
242,E118_1,10.78,1056.09504,27.21333333333333
243,E119_0,13.24,720.0441599999999,15.106666666666666
244,E119_1,12.59,719.7451199999999,15.879999999999999
245,E1_0,13.81,719.8876799999999,14.479999999999999
246,E5_0,14.22,720.1007999999999,14.066666666666666
247,E21_1,14.73,719.76672,13.573333333333332
